work_id,author_hash,category,str_work_id
13587831,caf39371f1b93499e1e1df85b64208d1,663,9959  13587831
13248363,bf06cb215fb02d251e89c61f29ed7ef2,366,9958  13248363
9627374,5cc2a7b2755a0244f20e52e4885a0831,783,9957   9627374
63838,f4e3c26726440c78bcc92638fc3c97bf,1213,9956     63838
602152,830326d3f940e677fab5497c9ac79fcf,532,9955    602152
14727647,8dd6146d044e34b91c251b8258146895,207,9954  14727647
370509,79252d0bbe5d28da8588885f08a3db58,1632,9953    370509
2162328,2d0052d3da773382e1223a8bb34a99a4,680,9952   2162328
690803,c348ee21b5e4f1b61918d84c6948966f,548,9951    690803
6183790,c3b563a99ffe1fada8789263679afac9,680,9950   6183790
822699,5f88794b34d5472ec79f205f2af4d148,212,995     822699
10788792,ebc3fb5d1b1f36f946e5cb1e128166f3,680,9949  10788792
2043723,fdba112b8ccde367d9e64deab15a5886,1268,9948   2043723
14857178,9183c34a186f071b9cb08c69b8046b4d,267,9947  14857178
7575256,0864545fb540132e7e96c1112f11cb1c,1213,9946   7575256
234602,172498864e4d52280af3e053a8ba66ad,1293,9945    234602
9583523,2a95dbcf8bc57eec264254689cbf51c0,846,9944   9583523
6517129,11ac834ac92b478f9a9b15c0163de031,1240,9943   6517129
185276,c1fbc06036f9129172c4df90132cda3a,552,9942    185276
268354,13324bf698ab242d316a3dd7a94b9143,887,9941    268354
8588749,b2fdb8b6e2064a630a49eacbf5a5dbf9,190,9940   8588749
5899219,538f8fb0d71ab5546cf02533aff37bad,1017,994    5899219
24184,3c5ba135874fb7bd9f82ccb9c2cb532c,1776,9939     24184
286062,8c94c6368b94dc88529079c98a1bccd6,1652,9938    286062
533691,314a6a567bde3191c66bb42ec07665eb,826,9937    533691
495479,436267aa36ee3e5dd5f3088193ae293b,820,9936    495479
13442628,306da804b2123ea41e7515e789559faf,1091,9935  13442628
9723248,204d852faeecc1c64220cf1a8c248014,751,9934   9723248
3513815,a880aa4c54ab3284076beb7c4d42303c,1632,9933   3513815
12415851,4915b5bc2a3eff58e0ba6372af6351ee,832,9932  12415851
1316551,3db7be87df1061c49bd5fda703c466be,1013,9931   1316551
3557648,be319cfae767f9ad78298fff0eb98763,1695,9930   3557648
595127,3d56f813198911ff38e5139c9a18afb1,1576,993     595127
5061685,8d9d0ed0210002291b7181458eac6a7e,883,9929   5061685
7896751,9ab178238fa640feee9c4dac6420f0d5,310,9928   7896751
14484030,e45688a6ad1686224582539c724dca36,1013,9927  14484030
6913066,87ba0f4ff1e2241d5b90b59ef8add366,400,9926   6913066
1939416,e45688a6ad1686224582539c724dca36,385,9925   1939416
10051445,14a6c1f253f213b027f9f5487dc68982,158,9924  10051445
10162301,14a6c1f253f213b027f9f5487dc68982,158,9923  10162301
1657868,3c810e8df62450eec51d3a26b60a7aee,710,9922   1657868
366422,75e7edf95dab2ef11e0c370d86bfca90,1348,9921    366422
193413,81042209d041165c9c28c541b03e837f,44,9920    193413
7630969,5f918a6fb88d3ec94fdddc442c487307,150,992    7630969
3177031,1ecd8341ba4ab298d3725c211ff991aa,83,9919   3177031
2764895,3c810e8df62450eec51d3a26b60a7aee,1264,9918   2764895
6679066,7b8c4cf2ef18bebb2fc062af9c630195,761,9917   6679066
27302,d7f7fb864aef27cd27a6951649bcd5bf,1734,9916     27302
644926,54e83f17190f513b167b96f7ddfc3cf0,1298,9915    644926
8635852,7dc0c83c0d21b916cd286dbe29bd92d5,158,9914   8635852
4723925,bc7735cb6ee167a3133799d8e4709a12,421,9913   4723925
7666537,02fea7522aac2d40556c7172e322b63d,672,9912   7666537
8213452,7abe2bdd5d53ab93ab67dfd08f070031,1714,9911   8213452
12559308,bf06cb215fb02d251e89c61f29ed7ef2,1508,9910  12559308
4230765,0047a28ce2de6d28ce03edf0f9fe92bd,234,991    4230765
1088878,2f33c993d543d42cfedab21637785893,320,9909   1088878
12400518,4915b5bc2a3eff58e0ba6372af6351ee,1649,9908  12400518
645344,b778d3319eb32c2f0773a4427b64a5ab,548,9907    645344
5755618,0b68c3175573c36d7b62f0fef515506a,680,9906   5755618
8160428,e45688a6ad1686224582539c724dca36,680,9905   8160428
8443210,9b8a4bcefc42bfb5f01c4fce20221ff7,883,9904   8443210
741487,192051bd7add18e68470ad08840f0fd1,440,9903    741487
10231859,31bd0431a5983e207323eea2e8544978,254,9902  10231859
6416236,e986f2783d2e77097163bfbe97455b9f,1079,9901   6416236
1761075,dac88780fa55fa1154f553e9d713822e,593,9900   1761075
439756,57e6490f3247743bcac8637c8cce7c47,470,990     439756
9313424,b5aab7ce961f02671058583fd9bd1a97,408,99     9313424
13909317,4915b5bc2a3eff58e0ba6372af6351ee,5,9899  13909317
10567845,85eeab08884d9847abe6bb1c20cde96b,5,9898  10567845
7871254,4bbf13036799e264c6b5c7f98ca8a701,750,9897   7871254
8212189,7abe2bdd5d53ab93ab67dfd08f070031,1632,9896   8212189
5943301,538f8fb0d71ab5546cf02533aff37bad,5,9895   5943301
1796416,feaccc1f78aec4eac3650a14cb90ee86,860,9894   1796416
863773,bf2cebe2d525143c0b54dbb8cb47486d,831,9893    863773
10139528,14a6c1f253f213b027f9f5487dc68982,680,9892  10139528
13616559,f9bc958527a49bb738817a9dd1f705dd,1427,9891  13616559
150339,204d852faeecc1c64220cf1a8c248014,574,9890    150339
11124522,e42c78394b8a6b791ce60534cc554dc6,1632,989   11124522
9564227,005f90caef1c0c695425ee0c23e7b5d3,187,9889   9564227
14792945,a610b5f12281af2c9f1822583991eecb,759,9888  14792945
158986,aac6c3c825a845ea10f26f418ac89713,926,9887    158986
1118710,05341956d6bc37026bec98416c8e2f7d,239,9886   1118710
10806405,ebc3fb5d1b1f36f946e5cb1e128166f3,301,9885  10806405
14883315,304e044bb340a7f031d94bdbc103e7ae,403,9884  14883315
294728,3b044ff4e5f201ab0ceb0406e16d2aec,476,9883    294728
7404709,f4a36994ed1e003ec67444b9373e962c,136,9882   7404709
1831063,e45688a6ad1686224582539c724dca36,385,9881   1831063
9675962,2be4448f0345f9a276aba702e0f30db8,895,9880   9675962
1067880,4921318a9b72ea39b1e84d91ba3584d2,481,988    1067880
5355941,6b8c776b7200e92d2e8c61b08493ad2b,320,9879   5355941
52777,4c4a218db8e569d153acc8a4533c4ed8,5,9878     52777
905387,85eeab08884d9847abe6bb1c20cde96b,5,9877    905387
1013296,0ea4479810b1b458f6593f759ceaed4c,1632,9876   1013296
7117786,0d25be8f1a50f020349e4f892a372b80,1547,9875   7117786
4482359,fb193d048df4d91ec1024213f194d9f5,180,9874   4482359
4713,6e0e7859ecb25b6a333c2ba1f44e4478,680,9873      4713
11181198,5af070360b65295e9ec2fa0b6004c179,54,9872  11181198
8246492,0ac61cddff0937e53a4726880edebc44,680,9871   8246492
9781199,0b6f5dd73d340aec9141d6750fdd5173,451,9870   9781199
221782,0e44599f770c7bd0ddf7409247536e45,68,987     221782
12506140,de398253760ad7057a579f974424270d,1388,9869  12506140
6535759,31a395a7f7f0eae39da2b57aefa0df8d,623,9868   6535759
14570370,cad441c945b0fb1abdc71dba61b4cda5,886,9867  14570370
11001942,71da2000f57a03acdc39d2b26bd635f2,926,9866  11001942
9893231,14a6c1f253f213b027f9f5487dc68982,742,9865   9893231
12960936,0b0d7b028a614b7bbf8fb6cbda26a402,270,9864  12960936
551835,d5fb2e56fbb8d22809d2a9321f65711f,528,9863    551835
10834845,6a797cd9b8d7dcd2fa96e187f6c8c078,5,9862  10834845
10164200,fc7d0da290126f6949f1bd1e60a05497,1017,9861  10164200
2435444,8ee122c26789ecf36aa02cb4cc2eb12b,5,9860   2435444
11663391,300e64dcc49c2970f04abe19284540ba,1013,986   11663391
496992,220ae66fdec1c717fe0bc1fb4a4c901c,1450,9859    496992
10562907,31bd0431a5983e207323eea2e8544978,1310,9858  10562907
10813191,ebc3fb5d1b1f36f946e5cb1e128166f3,1535,9857  10813191
390994,bb7244d41949582356b4ce8bf59abeb5,1266,9856    390994
8630650,cd487e0fd15723a6a197e939290391a3,168,9855   8630650
59227,68eebbb1adbf4faa7422262cb96a056c,39,9854     59227
553772,6137ffc4892841e58eaa86bbdd7dc68a,339,9853    553772
459677,2aed734ade40c23c60c8bbd80426acf4,47,9852    459677
2403257,ccb013d24d04d34332e6cd66a8a0bea4,691,9851   2403257
12073314,8ce920bd23d81c1edb59d8ca1086e06b,229,9850  12073314
799947,d99d390ecb48542037c00b9add9ff700,1310,985     799947
417725,92033379239991c17a8fd35e285774e9,305,9849    417725
158990,aac6c3c825a845ea10f26f418ac89713,1695,9848    158990
12416190,4915b5bc2a3eff58e0ba6372af6351ee,382,9847  12416190
4686218,f3f8ebcc933722a8a96a54fc63c127b3,67,9846   4686218
13761882,2aeb49e78085378eaa3747d38cbc366a,1402,9845  13761882
5466122,6b8c776b7200e92d2e8c61b08493ad2b,514,9844   5466122
11846292,d3aa96d4e4e9e0fc412cb3a301a00a9c,49,9843  11846292
8205152,d6dd57274564866b82d89a0e2817ca4a,208,9842   8205152
813867,a5968f216aef9bdea15c019e2b872b47,493,9841    813867
642004,f4a36994ed1e003ec67444b9373e962c,184,9840    642004
7033,b2627cc09ce491e2e4cc5002348175ae,908,984       7033
177958,da88a736af0fc595784937ca31d62503,737,9839    177958
6705187,9603153b7fb3746a3fba3eae7dd727d9,1562,9838   6705187
3468041,a084f4d8079a1c94c28ecc3f6c0bb121,183,9837   3468041
1064801,ccb013d24d04d34332e6cd66a8a0bea4,1028,9836   1064801
12416637,4915b5bc2a3eff58e0ba6372af6351ee,556,9835  12416637
11377503,cc27e791acce6e94c8fd635348746bf9,5,9834  11377503
12398484,b9597a508b03f43835e00b2feef8494e,147,9833  12398484
1648829,30a0f12551620cbe8b1327bc7c68c3b3,1264,9832   1648829
1134762,a4a5513c6c8da3646e71228352ff8b58,222,9831   1134762
687549,933121bc0a9244883c708d08ec6c2b80,344,9830    687549
13927017,98241361a20877db8a9a22096b735f0f,1059,983   13927017
5317025,137fa8319e74a7c8c433dffb96a0f3bc,1734,9829   5317025
3218339,6dc59b243a9ee8ff2b9a745190d0ce13,1632,9828   3218339
8189267,7abe2bdd5d53ab93ab67dfd08f070031,505,9827   8189267
2955272,bfc59e8bcacd4c89b6aba0b2cbe32ddf,1732,9826   2955272
6169372,a3b5b653396fc0a7d931d4fd8f540944,1367,9825   6169372
9787058,440e9a249097b4ef39f44b8caf84ea8c,1253,9824   9787058
469359,45a98c8e1cbfc8207544bcf6ccf4f9de,43,9823    469359
8360683,e45688a6ad1686224582539c724dca36,1719,9822   8360683
1274275,e39de7a29c40def8dd9526185fe51e7e,5,9821   1274275
706525,e2cd6be4b030a52d7a18326e3298053a,449,9820    706525
8680783,c70f8b81f881fa8bcb7aade58f3c1779,42,982    8680783
84327,3e2ad47bfdd4a04c2bc164bbfbc74ec1,506,9819     84327
1428625,bf0a277fd05823cfbb178fe7be567e7c,748,9818   1428625
11036094,2a86933788e3f1d3e9472003a39d99d4,655,9817  11036094
10813632,ebc3fb5d1b1f36f946e5cb1e128166f3,680,9816  10813632
2846030,6dc59b243a9ee8ff2b9a745190d0ce13,1632,9815   2846030
6288127,fbf098ba1937b2220d12e20b441fdf7b,450,9814   6288127
625275,7773bdfc4da06d24da799b4c183a8a07,5,9813    625275
1953435,3db7be87df1061c49bd5fda703c466be,68,9812   1953435
10038344,8fa9e32db7cb6c50f47a0f88b93ed881,1562,9811  10038344
10030124,14a6c1f253f213b027f9f5487dc68982,588,9810  10030124
1946373,e45688a6ad1686224582539c724dca36,385,981    1946373
6737095,a3d446ab256392060e532fac9de84c64,783,9809   6737095
8419939,033b27db4f7999ce3fd6010bc1abc7c6,1677,9808   8419939
2017365,e45688a6ad1686224582539c724dca36,1264,9807   2017365
5314925,874b1ced8b6f655933141885bdb73520,1632,9806   5314925
1629224,c7e0a5713037b61797f658fd6a286a8d,1249,9805   1629224
5943886,8a11a52a62bc1bb57b986f9204ab693d,722,9804   5943886
8214712,7abe2bdd5d53ab93ab67dfd08f070031,481,9803   8214712
4557573,87a7c8cf8bf274cfcd18e90b3bde123f,680,9802   4557573
628786,bc774dccf52b38f7c1b00b496438504d,1535,9801    628786
1290871,7537c36bf53df1c36b2af33d7fcdde71,5,9800   1290871
262296,28fc0e691f7cc8290395c65d012881f9,207,980     262296
215753,bb8a50f5100918f9c0f552fa34671152,465,98      215753
3706337,1f2e078de1e8fa0c645f9a99dbe58edd,680,9799   3706337
10930203,1edddf026fe3a46afa9b174d4d91a577,5,9798  10930203
9589391,e45688a6ad1686224582539c724dca36,447,9797   9589391
167790,5f88794b34d5472ec79f205f2af4d148,794,9796    167790
1180761,dcfd07408702b63d98ec8fd578c7d0c8,1026,9795   1180761
8464657,3759b6e7b709254fc33b3ce8348a640c,139,9794   8464657
14513214,0a1bc8a28f50dbd8376a01d61a2ca6b6,1162,9793  14513214
1861245,85eeab08884d9847abe6bb1c20cde96b,1677,9792   1861245
8909344,ea3c5e07bb5efae9033afdd7e20792f4,1059,9791   8909344
12220509,3e3b8461d71b4f99a8df76b633d0351a,953,9790  12220509
12401940,4915b5bc2a3eff58e0ba6372af6351ee,680,979   12401940
6853,3a453266e62b2da698b4e12fe1707964,748,9789      6853
1035680,dc61f4092fa69dffabff45d37793e861,311,9788   1035680
1218190,f0d259059a775ecad8932f73a5c77742,122,9787   1218190
4693400,f3f8ebcc933722a8a96a54fc63c127b3,217,9786   4693400
731189,192051bd7add18e68470ad08840f0fd1,592,9785    731189
918920,bf10a2a319c3cfaf0526dc063d1899d5,680,9784    918920
219179,911185ae3af93b14e570ab5c7f24276f,1562,9783    219179
10481250,2a9650d0e4d8b62bc1b2a6b992347f4d,424,9782  10481250
1121224,Anonymous,568,9781   1121224
44465,b6e4b15e09259999150c36541fc61aee,1677,9780     44465
593803,383c807b089db0e929c3726e7fa7d7c7,1339,978     593803
14488230,e41506e509ea49908f402b89c315361f,1632,9779  14488230
1072282,e36c08b1596f91c42ce02c1352f15f37,1621,9778   1072282
4631886,eae18bc41e1434dd98fa2dd989531da8,97,9777   4631886
10814613,ebc3fb5d1b1f36f946e5cb1e128166f3,704,9776  10814613
12411969,4915b5bc2a3eff58e0ba6372af6351ee,235,9775  12411969
185270,341f3e9d291ddc92b3afae8c354b065a,846,9774    185270
7692937,3934451864c0ba5d1e35a7f3993f7223,136,9773   7692937
225468,b33042a3f6a2b855811a9ad3355e4be4,169,9772    225468
12158433,44c4e5da436ef9c59caaddacb1074b5f,264,9771  12158433
11339241,300e64dcc49c2970f04abe19284540ba,794,9770  11339241
231347,6558af393da999146baaa575a594eec4,737,977     231347
5635489,1aecb0b28baa374aa247d5f180339ca3,578,9769   5635489
13132503,2aed734ade40c23c60c8bbd80426acf4,47,9768  13132503
8923546,0b1f9ad7b54fb36404825eb0ab6b8fd7,761,9767   8923546
5250557,1aecb0b28baa374aa247d5f180339ca3,393,9766   5250557
10060892,14a6c1f253f213b027f9f5487dc68982,240,9765  10060892
1421944,e35337fdc3df2675e2a5a8de43253c24,1707,9764   1421944
11684691,8793a65582bfd5726039be1acad58f8d,1051,9763  11684691
576865,e0ff4d6c2be9d4fe9f3a1fb0f800acf8,1082,9762    576865
10027853,14a6c1f253f213b027f9f5487dc68982,1310,9761  10027853
6224746,383c807b089db0e929c3726e7fa7d7c7,965,9760   6224746
483353,79a14f676889b9feeaa52789bd4a75f2,450,976     483353
8013415,4bbf13036799e264c6b5c7f98ca8a701,5,9759   8013415
427187,d9b7418710c4ec029e1146231417ef20,364,9758    427187
6149847,bd5219eb259e4cd51a2f784f101dd447,1347,9757   6149847
36609,19171f5eea4af797a863135ba22c7b33,848,9756     36609
96443,8c5f65bdc2b5e5d169a749de89143138,1535,9755     96443
10491861,04a0b87e258df2a32aa2c77c2c945525,1614,9754  10491861
13007988,6341bbf7cfd354fe74af93bdc2cca36f,1057,9753  13007988
358490,31b7755bce655ad78378d6f73f034037,1719,9752    358490
10789071,1f69d9e6773a0dc234dec7b2c924aa1d,1590,9751  10789071
2556290,bc4488f909add0789d6ee9441ac829a7,560,9750   2556290
48507,e7dfe088ee5557e891904e91b3b5fddc,241,975      48507
553205,f3a08ea98a9742ceee233b8b2483dd0a,158,9749    553205
65865,4c4a218db8e569d153acc8a4533c4ed8,1695,9748     65865
10806417,ebc3fb5d1b1f36f946e5cb1e128166f3,1594,9747  10806417
12812409,cf0a30042543c662cdcf611682108300,170,9746  12812409
12401160,4915b5bc2a3eff58e0ba6372af6351ee,902,9745  12401160
496177,e39de7a29c40def8dd9526185fe51e7e,27,9744    496177
1365970,49d527439c19407f8f4f1091cbb45c2d,463,9743   1365970
112254,390cf2ea3e1b7e9f84431e602a5c6f9d,979,9742    112254
9725639,be5323a9e38bdf9d54e7026d77b737c7,1268,9741   9725639
170604,09291293d6d95d59ef8ca66d8c2e63e3,5,9740    170604
267338,35cd0c94fa37296107f6fab84d7319f1,454,974     267338
7856749,4bbf13036799e264c6b5c7f98ca8a701,162,9739   7856749
9377363,0502ce92852dfea0a747d042ceff8b28,529,9738   9377363
1868304,e45688a6ad1686224582539c724dca36,385,9737   1868304
13749897,cb07c71c89870f92364fdd647c6d972d,1559,9736  13749897
76826,91a8a0ca06ef4dba7bfee92cee60f29e,569,9735     76826
10032536,14a6c1f253f213b027f9f5487dc68982,18,9734  10032536
386850,f40a8edb1b03b6f23a2e495b15f2fe4d,470,9733    386850
7966930,6a797cd9b8d7dcd2fa96e187f6c8c078,5,9732   7966930
11837457,3a4a1523645814e97badf07ea8186311,860,9731  11837457
968557,49d527439c19407f8f4f1091cbb45c2d,44,9730    968557
8982565,50d8e74aa5cd65a457e12cdefd3b3889,77,973    8982565
6454774,e45688a6ad1686224582539c724dca36,1213,9729   6454774
927870,b4270d4301e9cf6d9071f7145c69e19a,320,9728    927870
301684,747ba9878c1afa723a215f9bbd735610,514,9727    301684
741652,276e64edf71fddaa024236038764a00c,1310,9726    741652
5225693,e436daf244b083fe011eb56cc4e20c70,1043,9725   5225693
403342,7c82b8763320b3684c3bb31424c7c71c,195,9724    403342
10474806,2b4b05c4b1f31ad128d3a440af61e981,169,9723  10474806
385963,fdba112b8ccde367d9e64deab15a5886,80,9722    385963
549664,293d48819693a4e1d8998d06618e7f55,742,9721    549664
8209234,7abe2bdd5d53ab93ab67dfd08f070031,914,9720   8209234
6458629,a880aa4c54ab3284076beb7c4d42303c,220,972    6458629
12467184,3daa1abc75d894ee7c34a6b73c38ecb0,5,9719  12467184
49380,6fdd4ad08e10c9fec9c357c0b3cc52d2,1582,9718     49380
1325005,5d8e780190dd4ec8882b6f90e1917748,1535,9717   1325005
3104423,1aecb0b28baa374aa247d5f180339ca3,28,9716   3104423
14598624,022a985992ee6fcb4f557574e57fc1be,80,9715  14598624
124335,fb3cd6de2172a47c84ce81fc12370977,388,9714    124335
2225967,b0d86da2d5b3aa15b61df214489f7c12,324,9713   2225967
2167722,740dd97b1acd2568a4ee8da6a7db02ff,1555,9712   2167722
10747938,8f4939f59ea94e5e14fb57273dae4e2d,290,9711  10747938
14017308,fa7662c1c8b088bd52981eda684d0b8b,636,9710  14017308
12420810,4915b5bc2a3eff58e0ba6372af6351ee,1001,971   12420810
10811340,ebc3fb5d1b1f36f946e5cb1e128166f3,285,9709  10811340
1615247,831313131802f4b4066a7f57c5706eb0,223,9708   1615247
1001322,ae3c1cd30e19b04e834e172137888876,405,9707   1001322
7477308,359737e6bbd34d876a5a5cd639c13ec0,1354,9706   7477308
3260108,a520e076e40f9971fad9d972864e79a8,618,9705   3260108
8661436,cd487e0fd15723a6a197e939290391a3,49,9704   8661436
3405509,5093987ecf24a5fed1d57741c40eb0f9,446,9703   3405509
11532774,0bd34581795f1a5384da2d96db63aa11,676,9702  11532774
5845945,3ac26d353f4d9ba66191dc360cb91c21,1314,9701   5845945
554027,a123e3c1fd78fc9519073da3116d62e8,692,9700    554027
11559504,1363c0a72623ff8e7e3c0a4809120e91,535,970   11559504
10788390,ebc3fb5d1b1f36f946e5cb1e128166f3,358,97    10788390
333838,0ac5376a988b5c54f7fbebab592648b9,158,9699    333838
125956,ae3c1cd30e19b04e834e172137888876,94,9698    125956
780391,ea567a6c92b7c208b94f7a38983727c0,1719,9697    780391
1014937,72edcadd5ea3bc45852da917c8bfb11a,834,9696   1014937
5806063,0b7fc5e0ba5e08a6945e0592f62455c6,737,9695   5806063
9174820,cf2e215cda21df83971c31fc39829d39,1082,9694   9174820
10049609,14a6c1f253f213b027f9f5487dc68982,95,9693  10049609
13690107,e45688a6ad1686224582539c724dca36,5,9692  13690107
1828093,fdba112b8ccde367d9e64deab15a5886,403,9691   1828093
152306,4262cb2d62128ebfded08f68a7be32ca,1316,9690    152306
190442,69fedfbb251bc9c8073f7efd55adaa38,1632,969     190442
206263,a02fa2a74e44a47d577beb8c10d43c18,5,9689    206263
1803406,e45688a6ad1686224582539c724dca36,1013,9688   1803406
12952599,bf0c5236f193e4a46ff64907f70f819f,149,9687  12952599
14200800,96a16c8e41eb02f81433811e583f5ff1,861,9686  14200800
10059194,14a6c1f253f213b027f9f5487dc68982,1314,9685  10059194
9473942,1fe60dfbd111947ef46909de1770b155,1031,9684   9473942
698871,2d6bc4ce5a8f2097f7eba23c1cb9aea3,569,9683    698871
11029956,119475d0f07a8dd3d304e6ebb56e4b52,2,9682  11029956
64549,5889cafe1b8db32a216f93c7ed07d91f,605,9681     64549
8198545,5cc2a7b2755a0244f20e52e4885a0831,531,9680   8198545
347941,e03d59e479643e5d4f4ffd9e80a6dc20,183,968     347941
2832605,e45688a6ad1686224582539c724dca36,68,9679   2832605
325490,bdda1459031dc5d3a5100ce3cc9cbd94,257,9678    325490
7524379,e45688a6ad1686224582539c724dca36,857,9677   7524379
9639560,Anonymous,394,9676   9639560
431333,fbba373bda8fe3c2f54e0ddc9a71b93c,5,9675    431333
633629,7e045551834ea255ee5d76665f632fa6,1619,9674    633629
149137,af545f6403d03d458c5622b28272c078,1191,9673    149137
110120,03b8329bda582e068b951613bbc070a0,320,9672    110120
132437,4262cb2d62128ebfded08f68a7be32ca,1673,9671    132437
2301182,874b1ced8b6f655933141885bdb73520,223,9670   2301182
10837155,d79ddb90457b623362bd1194ec422a94,903,967   10837155
12400938,4915b5bc2a3eff58e0ba6372af6351ee,680,9669  12400938
12268968,5d4c27049f58f1aca1a24146875645d5,832,9668  12268968
4303557,518b6bd769b34a21bb255380a8ce6366,70,9667   4303557
476109,d2a9206078a16d91ab25464602567f5d,1153,9666    476109
10805283,ebc3fb5d1b1f36f946e5cb1e128166f3,1122,9665  10805283
14865524,7ad3f4821b7aa69ad5fc304b3693d67e,569,9664  14865524
10064438,14a6c1f253f213b027f9f5487dc68982,680,9663  10064438
9350318,79c2dd4b9ae0af0de8a3750851cadd5e,532,9662   9350318
357824,0ac61cddff0937e53a4726880edebc44,1559,9661    357824
10051055,ec04e83ddd33c89a4159040555ca6ae1,661,9660  10051055
263943,d9528c2c3d4b9ee9e9e2c712d9b67a07,5,966     263943
9852902,bf5c4236f027299263a535b614fdeae2,253,9659   9852902
7692688,3934451864c0ba5d1e35a7f3993f7223,389,9658   7692688
13279383,f545df24df5ec11d740449ed87dadcaf,320,9657  13279383
4939609,383c807b089db0e929c3726e7fa7d7c7,1020,9656   4939609
5018569,b0d86da2d5b3aa15b61df214489f7c12,5,9655   5018569
6228550,57da883d8496047770314892bd9120db,1453,9654   6228550
334371,f3cddd1e1a0cd03d4775926691fee427,476,9653    334371
8860132,300e64dcc49c2970f04abe19284540ba,1734,9652   8860132
7685647,3934451864c0ba5d1e35a7f3993f7223,981,9651   7685647
223977,1f817a45383ca77bd3789a6bea805e78,1768,9650    223977
313509,607e86501c6efd7201dfeb567828ed9b,267,965     313509
14693912,d08b439f5be3994cfecc77141fa77bc4,267,9649  14693912
11126520,fad984947b7898907b6b573c872afd15,1508,9648  11126520
2839751,bfc59e8bcacd4c89b6aba0b2cbe32ddf,737,9647   2839751
1030103,13ca20d2215b5b6ac3a7ba2193a81b79,1677,9646   1030103
10809252,ebc3fb5d1b1f36f946e5cb1e128166f3,883,9645  10809252
10787061,ebc3fb5d1b1f36f946e5cb1e128166f3,1307,9644  10787061
539432,52eb10fbc150624b6dea04bfb35ea7d9,343,9643    539432
7929613,5cc2a7b2755a0244f20e52e4885a0831,1204,9642   7929613
3176277,cc3ac89bbcb9b7d5c2f2caf9bb034a96,1559,9641   3176277
5211737,9acfc54d9c127ccc8c14db96af153645,742,9640   5211737
161280,5244ded9cc9aa10e4ef0342335ef5ebf,1732,964     161280
13148910,32625fe70b2c15600ec71f816fef9020,158,9639  13148910
14756520,6b20c71535f08d389591a43d8e9b9ddd,902,9638  14756520
8205745,7abe2bdd5d53ab93ab67dfd08f070031,1632,9637   8205745
